product_name,product_price,product_discont,product_link,product_img
Waist Bag Rush - Visval - Biru Dongker - Tas Pinggang,Rp69.000 - Rp100.000,63%,https://shopee.co.id/Waist-Bag-Rush-Visval-Biru-Dongker-Tas-Pinggang-i.163231683.2455977433?sp_atk=eb3854c6-86d2-4789-b9e0-c1747b047da2&xptdk=eb3854c6-86d2-4789-b9e0-c1747b047da2,https://cf.shopee.co.id/file/2e931d2d3b71ccdb973e666573659657
Sling Bag Walker - Visval - Hitam - Tas Selempang - Murah Keren,Rp70.000 - Rp100.000,59%,https://shopee.co.id/Sling-Bag-Walker-Visval-Hitam-Tas-Selempang-Murah-Keren-i.163231683.2455977508?sp_atk=676982b3-3d4d-49ad-9abc-49fcd0d2ded6&xptdk=676982b3-3d4d-49ad-9abc-49fcd0d2ded6,https://cf.shopee.co.id/file/sg-11134201-23010-h0n6oq1ydgmva2
Sling Bag Walker - Visval - Olive - Tas Selempang,Rp70.000 - Rp100.000,59%,https://shopee.co.id/Sling-Bag-Walker-Visval-Olive-Tas-Selempang-i.163231683.2455977523?sp_atk=be081254-f45a-43ad-9e03-bba91e075e40&xptdk=be081254-f45a-43ad-9e03-bba91e075e40,https://cf.shopee.co.id/file/sg-11134201-23010-sp7tatxzdgmv8a
Waist Bag Rush - Visval - Hitam - Tas Pinggang,Rp69.000 - Rp100.000,63%,https://shopee.co.id/Waist-Bag-Rush-Visval-Hitam-Tas-Pinggang-i.163231683.2455977480?sp_atk=c2115ae0-a75a-477e-8c7b-03aa938b996d&xptdk=c2115ae0-a75a-477e-8c7b-03aa938b996d,https://cf.shopee.co.id/file/13d519cb46334f23aeb6cbfdd6604536
Sling Bag Walker 2.0 - Visval - Olive - Tas Selempang - Murah Keren,Rp99.000,45%,https://shopee.co.id/Sling-Bag-Walker-2.0-Visval-Olive-Tas-Selempang-Murah-Keren-i.163231683.8942962722?sp_atk=f15bc2b1-0849-47a4-8581-b4a7ba745d75&xptdk=f15bc2b1-0849-47a4-8581-b4a7ba745d75,https://cf.shopee.co.id/file/add3f24f1df9d7bf7c09260d34bb41bf
Sling Bag Meta 1.0 Visval,Rp69.000,63%,https://shopee.co.id/Sling-Bag-Meta-1.0-Visval-i.163231683.2913974445?sp_atk=7214f8d8-e43a-483b-a68b-6a5e8d4ff6d3&xptdk=7214f8d8-e43a-483b-a68b-6a5e8d4ff6d3,https://cf.shopee.co.id/file/id-11134207-23010-9hzaorzrv8lvc9
Sling Bag Walker 2.0 - Visval - Black - Tas Selempang - Murah Keren,Rp99.000,45%,https://shopee.co.id/Sling-Bag-Walker-2.0-Visval-Black-Tas-Selempang-Murah-Keren-i.163231683.8042959191?sp_atk=d540a834-9603-4529-9871-5dd210dcb995&xptdk=d540a834-9603-4529-9871-5dd210dcb995,https://cf.shopee.co.id/file/ddf6a188d97f4dec7cd7e88ac0dc6ee1
SlingBag Meta New Color Visval - Tas Selempang,Rp100.000,47%,https://shopee.co.id/SlingBag-Meta-New-Color-Visval-Tas-Selempang-i.163231683.2913970643?sp_atk=66e1b356-a03f-4aa2-8460-d363de737887&xptdk=66e1b356-a03f-4aa2-8460-d363de737887,https://cf.shopee.co.id/file/sg-11134201-23020-mf3ywlm2zcnv3a
Sling Bag Walker - Visval - Biru Dongker - Tas Selempang,Rp55.000 - Rp100.000,67%,https://shopee.co.id/Sling-Bag-Walker-Visval-Biru-Dongker-Tas-Selempang-i.163231683.2455977501?sp_atk=5b760897-7df2-4028-88b2-116cb81fda93&xptdk=5b760897-7df2-4028-88b2-116cb81fda93,https://cf.shopee.co.id/file/sg-11134201-23010-hjbnpea2dgmvc0
Sling Bag Hako Sacoche - Visval - Hitam - Tas Selempang,Rp69.000,59%,https://shopee.co.id/Sling-Bag-Hako-Sacoche-Visval-Hitam-Tas-Selempang-i.163231683.4757392870?sp_atk=e4b8fee7-f90f-4568-85cd-d8a2881fb8fb&xptdk=e4b8fee7-f90f-4568-85cd-d8a2881fb8fb,https://cf.shopee.co.id/file/742b2b1b966dbd5de8bab366ec6925ae
Waist Bag Rush - Visval - Olive - Tas Pinggang,Rp69.000 - Rp100.000,63%,https://shopee.co.id/Waist-Bag-Rush-Visval-Olive-Tas-Pinggang-i.163231683.2455977442?sp_atk=c5b28944-a558-4f2c-826b-d1047f52d72c&xptdk=c5b28944-a558-4f2c-826b-d1047f52d72c,https://cf.shopee.co.id/file/4f73c4789ae5b919431ac67196e85c4c
Sling Bag Flick 2.0 - Visval - Black - Tas Selempang - Murah Keren,Rp119.000,34%,https://shopee.co.id/Sling-Bag-Flick-2.0-Visval-Black-Tas-Selempang-Murah-Keren-i.163231683.2455977525?sp_atk=16b82071-5492-455b-a8f3-f6fa27c9ff96&xptdk=16b82071-5492-455b-a8f3-f6fa27c9ff96,https://cf.shopee.co.id/file/28a34206ab81351ec4fb70400587ce76
